"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"561","Water Program","NEW SERVICE CONNECTIONS","NEW SERVICE CONNECTIONS - CUT REPAIRS",9486,2774,0,0,0,0,0,0,0,0,12260,"CW","City Wide","Growth Related"
"562","Water Program","DIST W/M REPLACEMENT","2022-2024 WATERMAIN UPGRADES",4397,4921,1575,525,0,0,0,0,0,0,11418,"CW","City Wide","Growth Related"
"563","Water Program","HORGAN TRUNK MAIN EXPANSION","DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) Engineering",129,400,90,0,0,0,0,0,0,0,619,"CW","City Wide","Growth Related"
"564","Water Program","ISLAND W.T.P. R&R","CHEMICAL & RESIDUALS MANAGMENT ENGINEERING",6,107,43,52,21,12,6,5,0,0,252,"CW","City Wide","Legislated"
"565","Water Program","TRANSMISSION R&R","CAST IRON TRUNK REPLC - PHASE 4 - CONSTRUCTION",-1004,9000,4005,0,0,0,0,0,0,0,12001,"CW","City Wide","State of Good Repair"
"566","Water Program","PW ENGINEERING","WATER LOSS REDUCTION STRATEGY",583,563,50,250,0,0,0,0,0,0,1446,"CW","City Wide","State of Good Repair"
"567","Water Program","WATER EFFICIENCY PROGRAM","ICI INDOOR WATER AUDIT",183,184,66,68,0,0,0,0,0,0,501,"CW","City Wide","Growth Related"
"568","Water Program","WATER EFFICIENCY PROGRAM","PUBLIC EDUCATION & PROMOTIONS",45,0,0,0,0,0,0,0,0,0,45,"CW","City Wide","Growth Related"
"569","Water Program","PW ENGINEERING","ASSET MGMT SYSTEM IMPLEMENTATION",1724,1876,1402,892,850,850,0,0,0,0,7594,"CW","City Wide","Service Improvement and Enhancement"
"570","Water Program","PW ENGINEERING","JOS UPDATE PHASE III",105,0,0,0,0,0,0,0,0,0,105,"CW","City Wide","Growth Related"
"571","Water Program","PW ENGINEERING","JOS UPDATE PHASE III",175,0,0,0,0,0,0,0,0,0,175,"CW","City Wide","Growth Related"
"572","Water Program","PW ENGINEERING","YORK REGION SHARED STUDIES",-19,0,0,0,0,0,0,0,0,0,-19,"CW","City Wide","Growth Related"
"573","Water Program","PW ENGINEERING","YORK REGION SHARED STUDIES",-6,0,0,0,0,0,0,0,0,0,-6,"CW","City Wide","Growth Related"
"574","Water Program","PW ENGINEERING","WATER LOSS REDUCTION STRATEGY",-583,-107,600,0,250,0,0,0,0,0,160,"CW","City Wide","State of Good Repair"
"575","Water Program","PW ENGINEERING","WATERMAIN ASSET PLANNING",-4250,609,995,754,700,1241,0,0,0,0,49,"CW","City Wide","State of Good Repair"
"576","Water Program","PW ENGINEERING","CAPITAL PROGRAMMING & FACILITY ASSET PLANNING",-59,114,0,0,0,0,0,0,0,0,55,"CW","City Wide","State of Good Repair"
"577","Water Program","PW ENGINEERING","JOS UPDATE PHASE III",-52,100,105,105,0,0,0,0,0,0,258,"CW","City Wide","Growth Related"
"578","Water Program","TRANSMISSION R&R","TRANS FACILITIES REHAB",1093,1350,100,0,0,0,0,0,0,0,2543,"CW","City Wide","State of Good Repair"
"579","Water Program","TRANSMISSION R&R","DOWNSVIEW PS - Construction",3195,3495,1140,0,0,0,0,0,0,0,7830,"CW","City Wide","Growth Related"
"580","Water Program","HARRIS W.T.P. R&R","TRAVELLING SCREENS 3 & 5 UPGRADE",0,300,450,0,0,0,0,0,0,0,750,"CW","City Wide","State of Good Repair"
"581","Water Program","LAWRENCE ALLAN REVITALIZATION PLAN","LARP - INTERNAL - PHASE 2",-2824,1506,2260,0,338,0,0,0,0,0,1280,"CW","City Wide","Growth Related"
"582","Water Program","WT&S PLANTWIDE","STANDBY POWER - PHASE 2 - ENG",592,287,260,208,204,131,11,5,5,0,1703,"CW","City Wide","Service Improvement and Enhancement"
"583","Water Program","WT&S PLANTWIDE","ZEBRA MUSSEL CONTROL - CONSTRUCTION",-4861,26406,20000,4000,0,0,0,0,0,0,45545,"CW","City Wide","State of Good Repair"
"584","Water Program","BUSINESS SYSTEM INFRASTRUCTURE - PW","RELIABILITY IMPROVEMENT PROGRAM",778,626,100,0,0,0,0,0,0,0,1504,"CW","City Wide","Service Improvement and Enhancement"
"585","Toronto Parking Authority","CP 277 Permanent Construction Surface Lot","CP 277 Permanent Construction Surface Lot",-20,-551,0,0,0,0,0,0,0,0,-571,"10","Spadina-Fort York","Growth Related"
"586","Toronto Parking Authority","Bessarion Community Centre","Acquisition - Bessarion Community Centre",100,0,0,0,0,100,0,0,0,0,200,"17","Don Valley North","Growth Related"
"587","Toronto Parking Authority","Bessarion Community Centre","Acquisition - Bessarion Community Centre",645,60,0,0,0,-100,0,0,0,0,605,"17","Don Valley North","Growth Related"
"588","Toronto Parking Authority","CP 219 (JV) 87 Richmond Street East","CP 219 (JV) 87 Richmond Street East",0,0,0,0,0,-5000,0,0,0,0,-5000,"13","Toronto Centre","Growth Related"
"589","Water Program","WATER SUSTAINABILITY PROGRAM","WATER SUSTAINABILITY PRG (STANDBY POWER - ELLESM)",808,0,0,0,0,0,0,0,0,0,808,"CW","City Wide","Service Improvement and Enhancement"
"590","Water Program","TRUNK WATERMAIN","TRANSMISSION SYSTEM AUTOMATION",1754,72,0,0,0,0,0,0,0,0,1826,"CW","City Wide","Service Improvement and Enhancement"
"591","Water Program","ISLAND W.T.P. R&R","FACILITY & PROCESS UPGRADES",131,92,2,0,0,375,375,375,375,375,2100,"CW","City Wide","State of Good Repair"
"592","Water Program","ISLAND W.T.P. R&R","PLANTWIDE HVAC UPGRADES",2779,0,0,0,0,0,0,0,0,0,2779,"CW","City Wide","Service Improvement and Enhancement"
"593","Water Program","ENGINEERING","PMMD SALARIES",0,0,311,0,0,0,0,0,0,0,311,"CW","City Wide","State of Good Repair"
"594","Water Program","ENGINEERING","TW SALARIES",311,359,3743,4,0,0,0,0,0,0,4417,"CW","City Wide","State of Good Repair"
"595","Water Program","ENGINEERING","PPFA SALARIES",0,1,2415,0,0,0,0,0,0,0,2416,"CW","City Wide","State of Good Repair"
"596","Water Program","ENGINEERING","ECS SALARIES",14452,0,0,0,0,0,0,0,0,0,14452,"CW","City Wide","State of Good Repair"
"597","Water Program","HARRIS W.T.P. R&R","FACILITY & PROCESS UPGRADES",150,200,200,200,0,0,0,0,0,0,750,"CW","City Wide","State of Good Repair"
"598","Water Program","HARRIS W.T.P. R&R","HARRIS FILTERS REHABILITATION - PILOT",-783,1036,0,0,0,0,0,0,0,0,253,"CW","City Wide","State of Good Repair"
"599","Toronto Parking Authority","Metro Hall","Metro Hall",128,900,200,0,0,0,0,0,0,0,1228,"10","Spadina-Fort York","Growth Related"
"600","Toronto Parking Authority","Exhaust Fan, Drain, Concrete CP 36","CP 36 Exhaust Fan, Drain, Concrete",-1000,-850,0,0,0,0,0,0,0,0,-1850,"10","Spadina-Fort York","State of Good Repair"
"601","Toronto Parking Authority","CP 221 (JV) 121 St. Patrick St.","CP 221 (JV) 121 St. Patrick St.",5667,0,0,0,0,0,0,0,0,0,5667,"10","Spadina-Fort York","Growth Related"
"602","Toronto Parking Authority","Etobicoke Civic Centre","Etobicoke Civic Centre",85,0,-2,0,0,0,0,0,0,0,83,"3","Etobicoke-Lakeshore","Growth Related"
"603","Toronto Parking Authority","CP 58 Parking Garage Restoration","CP 58 Parking Garage Restoration",-1160,-1160,0,0,0,0,0,0,0,0,-2320,"11","University-Rosedale","State of Good Repair"
"604","Toronto Parking Authority","Greening of Various CPs 45,48,82,502 710 others","Greening of Various CPs 45, 48, 82, 502, 710 etc",0,0,0,-1500,0,0,0,0,0,0,-1500,"CW","City Wide","State of Good Repair"
"605","Toronto Parking Authority","CP 12/CP 223 (JV) 30 Alvin Ave","CP 12/CP 223 (JV) 30 Alvin Ave",-50,-50,-50,-8820,0,8459,0,0,0,0,-511,"12","Toronto-St. Pauls","Growth Related"
"606","Toronto Parking Authority","CP 29 New Elevators","CP 29 New Elevators",0,-1500,350,975,875,0,0,0,0,0,700,"12","Toronto-St. Pauls","Service Improvement and Enhancement"
"607","Toronto Parking Authority","CP 505 Cliveden Redevelopment","CP 505 Carpark Expansion",0,500,0,0,0,0,0,0,0,0,500,"3","Etobicoke-Lakeshore","Growth Related"
"608","Office of the Controller","Supply Chain Management Transformation","Supply Chain Management Transformation (SCMT 1)",127,0,0,0,0,0,0,0,0,0,127,"CW","City Wide","Service Improvement and Enhancement"
"609","Office of the Controller","Financial Systems Transformation","Financial Systems Transformation",11277,0,0,0,0,0,0,0,0,0,11277,"CW","City Wide","Service Improvement and Enhancement"
"610","Fire Services","Lifecycle Replacement of SCBA","Lifecycle Replacement of SCBA",0,0,0,0,0,0,0,0,6500,0,6500,"CW","City Wide","Health and Safety"
"611","Shelter, Support & Housing Administration","Capital Repairs/Repl : City Operated","Capital Repairs/Replacemnt-City Operated-2020-2028",0,5442,10548,7702,9322,9278,7466,7616,2901,4738,65013,"CW","City Wide","State of Good Repair"
"612","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Wading Pool Convert to Splash Pad (3)",0,0,0,0,0,0,0,13,188,0,201,"21","Scarborough Centre","Service Improvement and Enhancement"
"613","Parks, Forestry & Recreation","Arena","FMP-Arena Redevelopment-Twin Pad Design",0,0,0,0,0,725,5180,365,365,365,7000,"CW","City Wide","Growth Related"
"614","Parks, Forestry & Recreation","Arena","FMP-Arena Repurpose (1) Design",0,0,0,0,0,40,350,35,0,0,425,"CW","City Wide","Growth Related"
"615","Parks, Forestry & Recreation","Arena","CAMP (SGR) Arenas",0,0,0,854,0,0,0,0,0,0,854,"CW","City Wide","State of Good Repair"
"616","Parks, Forestry & Recreation","Environmental Initiatives","Community Gardens Program",0,50,0,0,0,0,0,0,0,0,50,"CW","City Wide","Service Improvement and Enhancement"
"617","Parks, Forestry & Recreation","Environmental Initiatives","Community Gardens Program",0,50,100,100,100,100,100,100,100,100,850,"CW","City Wide","Service Improvement and Enhancement"
"618","Parks, Forestry & Recreation","Playgrounds/Waterplay","Play Enhancement Program",0,5800,5800,5800,5800,5800,0,0,0,0,29000,"CW","City Wide","Service Improvement and Enhancement"
"619","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Outdoor RC Improvements",0,200,200,200,200,200,500,500,500,500,3000,"CW","City Wide","Service Improvement and Enhancement"
"620","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Cricket Pitch (5)",0,0,0,0,45,690,0,0,0,0,735,"CW","City Wide","Growth Related"
"621","Parks, Forestry & Recreation","FIFA","FIFA Training Site A Improvements",0,7290,2667,0,0,0,0,0,0,0,9957,"2","Etobicoke Centre","Service Improvement and Enhancement"
"622","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Soccer Field (3)",0,0,0,0,40,645,0,0,0,0,685,"CW","City Wide","Growth Related"
"623","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Cricket Pitch (2)",0,40,595,0,0,0,0,0,0,0,635,"CW","City Wide","Growth Related"
"624","Economic Development and Culture","Collections Care","Cultural Assets Storage Workshop - FY",0,0,0,0,250,0,0,0,300,0,550,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"625","Economic Development and Culture","Collections Care","Collections Facilities -FY",0,200,200,400,0,200,400,0,200,250,1850,"10","Spadina-Fort York","State of Good Repair"
"626","Parks, Forestry & Recreation","Trails & Pathways","CAMP (SGR) Trails, Pathways & Bridges",0,0,0,714,0,0,0,0,0,0,714,"CW","City Wide","State of Good Repair"
"627","Economic Development and Culture","Service Enhancement","John St. Roundhouse Machine Shop-FY",0,0,0,150,900,400,0,0,300,0,1750,"10","Spadina-Fort York","Service Improvement and Enhancement"
"628","Economic Development and Culture","Service Enhancement","Montgomery's Inn Briarly Room-FY",0,250,550,0,0,0,400,0,0,0,1200,"2","Etobicoke Centre","Service Improvement and Enhancement"
"629","Parks, Forestry & Recreation","Community Centres","FMP-Program Space Addition (2) Construction",0,0,0,0,0,0,0,0,2300,1850,4150,"CW","City Wide","Growth Related"
"630","Parks, Forestry & Recreation","Community Centres","FMP-Scarborough Gymnasium Addition (1) Design",0,0,0,0,0,0,0,600,700,200,1500,"CW","City Wide","Growth Related"
"631","Parks, Forestry & Recreation","Community Centres","FMP-Scarborough Gymnasium Addition (1)Construction",0,0,0,0,0,0,0,0,6500,15000,21500,"CW","City Wide","Growth Related"
"632","Parks, Forestry & Recreation","Community Centres","FMP-North Rexdale CRC (3) Design",0,0,0,0,0,500,1000,750,500,250,3000,"1","Etobicoke North","Growth Related"
"633","Economic Development and Culture","Major Maintenance","Theatre Passe Muraille - FY",0,0,0,50,0,0,0,0,0,0,50,"10","Spadina-Fort York","State of Good Repair"
"634","Toronto Paramedic Services","Mobile Data Communications","Mobile Data Communications - Future years",0,300,300,300,300,300,300,300,300,300,2700,"CW","City Wide","State of Good Repair"
"635","Fire Services","REPLACEMENT OF PORTABLE RADIOS","Replacement of Portable Radios-2031",0,0,0,0,0,0,0,0,2638,0,2638,"CW","City Wide","Health and Safety"
"636","Fire Services","Replacement of HUSAR Equipment","Replacement of HUSAR Equipment -Future Years",0,50,50,50,50,50,50,50,50,50,450,"CW","City Wide","Legislated"
"637","Parks, Forestry & Recreation","Park Development","FMP-Dogs Off Leash Area (3)",0,0,0,35,550,0,0,0,0,0,585,"CW","City Wide","Growth Related"
"638","Parks, Forestry & Recreation","Park Development","Apted Park Construction",0,0,700,0,0,0,0,0,0,0,700,"7","Humber River-Black Creek","Service Improvement and Enhancement"
"639","Parks, Forestry & Recreation","Park Development","705 Progress Avenue - Ph 2 Park Development",0,0,0,0,0,0,0,0,700,0,700,"24","Scarborough-Guildwood","Service Improvement and Enhancement"
"640","Parks, Forestry & Recreation","Park Development","Lower Yonge Park Development",0,0,0,1000,11000,0,0,0,0,0,12000,"10","Spadina-Fort York","Growth Related"
"641","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Spadina Restoration - FY",0,0,0,300,0,300,200,300,0,250,1350,"12","Toronto-St. Pauls","State of Good Repair"
"642","Economic Development and Culture","Restoration/Preservation of Heritage Elements","John Bales House - FY",0,300,200,200,0,0,0,0,300,0,1000,"18","Willowdale","State of Good Repair"
"643","Seniors Services and Long-Term Care","SPIF Community Parkland","SPIF Community Parkland - Kipling Acres",110,110,1111.28,0,0,0,0,0,0,0,1331.28,"1","Etobicoke North","State of Good Repair"
"644","Parks, Forestry & Recreation","Facility Components","Various Bldgs-Facility Rehabilitation",0,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000,"CW","City Wide","State of Good Repair"
"645","Toronto Housing Corporation","TCHC Development Capital Projects","TCHC - DEVELOPMENT - IN-FLIGHT",15860,12556,1584,0,0,0,0,0,0,0,30000,"CW","City Wide","Service Improvement and Enhancement"
"646","Parks, Forestry & Recreation","Facility Components","Capital Asset Management Planning",0,0,1200,1200,1200,1200,1200,1200,1200,1200,9600,"CW","City Wide","State of Good Repair"
"647","Toronto Housing Corporation","TCHC Building Repair Capital","TCHC Building Repair Capital",131783,160000,160000,160000,0,0,0,0,0,0,611783,"CW","City Wide","State of Good Repair"
"648","Housing Secretariat","Emergency Housing Action","Emergency Housing Action",47000,0,0,0,0,0,0,0,0,0,47000,"CW","City Wide","Service Improvement and Enhancement"
"649","Housing Secretariat","Housing Now","Housing Now Capital Cost",0,0,-543,0,0,-687,-5682,-1526,0,0,-8438,"CW","City Wide","Service Improvement and Enhancement"
"650","Housing Secretariat","Rental Development","Rental Development",0,8922,0,0,0,0,0,0,0,0,8922,"CW","City Wide","Growth Related"
"651","Housing Secretariat","Housing Now","Housing Now Phase 1 Capital Cost",28217,0,0,0,0,0,0,0,0,0,28217,"CW","City Wide","Growth Related"
"652","Seniors Services and Long-Term Care","4610 Finch Ave East","4610 Finch Ave East",1000,6274,14887,14026,0,0,0,0,0,0,36187,"23","Scarborough-North","Growth Related"
"653","Seniors Services and Long-Term Care","Building SOGR","Building SOGR - 2022",1447,0,0,0,0,0,0,0,0,0,1447,"CW","City Wide","State of Good Repair"
"654","Shelter, Support & Housing Administration","625 Church","625 Church",768,550,0,0,0,0,0,0,0,0,1318,"CW","City Wide","Service Improvement and Enhancement"
"655","Shelter, Support & Housing Administration","AODA","AODA",0,0,2194,644,788,0,0,0,0,0,3626,"CW","City Wide","Legislated"
"656","Children's Services","TCH Needle Firway","TCH Needle Firway",0,0,50,0,0,0,0,0,0,0,50,"7","Humber River-Black Creek","Service Improvement and Enhancement"
"657","Parks, Forestry & Recreation","Parking Lots and Tennis Courts","FMP-Tennis Court Complex WO Lights (1) Muirlands",28,0,0,0,0,0,0,0,0,0,28,"23","Scarborough-North","Growth Related"
"658","Parks, Forestry & Recreation","Parking Lots and Tennis Courts","FMP-Tennis Court Complex with Lights (1) South",0,70,990,0,0,0,0,0,0,0,1060,"CW","City Wide","Growth Related"
"659","Parks, Forestry & Recreation","Arena","FMP-Artificial Ice Rink (1) Design Fountainhead",8,0,0,0,0,0,0,0,0,0,8,"7","Humber River-Black Creek","Growth Related"
"660","Toronto Paramedic Services","Multi-Function Station #3","MF#3 (FACILITY) - 610 Bay St (Phase 1)",0,1000,1500,200,0,0,0,0,0,0,2700,"CW","City Wide","Growth Related"
"661","Toronto Paramedic Services","Medical Equipment Replacement Program","Medical Equipment Replacement - 2023",700,0,0,0,0,0,0,0,0,0,700,"CW","City Wide","State of Good Repair"
"662","Toronto Paramedic Services","Additional Ambulances","Additional Ambulances (7 per year) - 2023",2800,0,0,0,0,0,0,0,0,0,2800,"CW","City Wide","Growth Related"
"663","Fire Services","HUSAR Building Expansion","HUSAR Buidling Expansion-Change in Scope",0,2600,0,0,0,0,0,0,0,0,2600,"CW","City Wide","Growth Related"
"664","Fire Services","Feasibility Study - Flemingdon Station","Feasibility Study - Flemingdon Station",185,0,0,0,0,0,0,0,0,0,185,"CW","City Wide","State of Good Repair"
"665","Parks, Forestry & Recreation","Facility Components","Investigation & Pre-Engineering SI&G",0,250,0,0,0,0,0,0,0,0,250,"CW","City Wide","Service Improvement and Enhancement"
"666","Parks, Forestry & Recreation","Outdoor Recreation Centres","Bluffer's Park Washroom Improvements",0,2000,0,0,0,0,0,0,0,0,2000,"20","Scarborough Southwest","Service Improvement and Enhancement"
"667","Parks, Forestry & Recreation","Environmental Initiatives","Community Access to Ravines",308,0,0,0,0,0,0,0,0,0,308,"CW","City Wide","State of Good Repair"
"668","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Maple Leaf Pk New Splash Pad",268,0,0,0,0,0,0,0,0,0,268,"5","York South-Weston","Service Improvement and Enhancement"
"669","Parks, Forestry & Recreation","Information Technology","IT-311 Customer Service Strategy",325,353,0,0,0,0,0,0,0,0,678,"CW","City Wide","Service Improvement and Enhancement"
"670","Parks, Forestry & Recreation","Playgrounds/Waterplay","Wigmore Park Splash Pad and Playground",50,1400,50,0,0,0,0,0,0,0,1500,"16","Don Valley East","Service Improvement and Enhancement"
"671","Parks, Forestry & Recreation","Arena","2023 Reduction Target CAMP (SGR) Arenas",-5140,0,0,0,0,0,0,0,0,0,-5140,"CW","City Wide","State of Good Repair"
"672","Parks, Forestry & Recreation","Park Development","FMP-Dogs Off Leash Area (1)",30,470,0,0,0,0,0,0,0,0,500,"25","Scarborough-Rouge Park","Growth Related"
"673","Parks, Forestry & Recreation","Community Centres","FMP-Masaryk-Cowan CC - Upgrades",0,0,0,270,0,0,0,0,0,0,270,"4","Parkdale-High Park","Service Improvement and Enhancement"
"674","Parks, Forestry & Recreation","Community Centres","FMP-Wallace Emerson (Galleria) Redevelopment",5403,15300,0,0,0,0,0,0,0,0,20703,"9","Davenport","Growth Related"
"675","Parks, Forestry & Recreation","Arena","FMP Don Mills Community Recreation Facility Design",0,0,50,0,0,0,0,0,0,0,50,"16","Don Valley East","Service Improvement and Enhancement"
"676","Parks, Forestry & Recreation","Land Acquisition","Green Line - Remediation",0,400,0,0,0,0,0,0,0,0,400,"12","Toronto-St. Pauls","Legislated"
"677","Parks, Forestry & Recreation","Park Development","76 Coral Gable Drive Park Development",0,700,0,0,0,0,0,0,0,0,700,"7","Humber River-Black Creek","Growth Related"
"678","Parks, Forestry & Recreation","Park Development","Lawrence Heights Ph1a-Baycrest Additional Funds",0,400,0,0,0,0,0,0,0,0,400,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"679","Parks, Forestry & Recreation","Park Development","1500 St. Clair Avenue West - New Park Development",0,60,940,0,0,0,0,0,0,0,1000,"9","Davenport","Growth Related"
"680","Parks, Forestry & Recreation","Park Development","51 Drewry Avenue and Inez Court - Park Development",0,0,3000,3650,0,0,0,0,0,0,6650,"18","Willowdale","Growth Related"
"681","Parks, Forestry & Recreation","Park Development","Master Planning & Engagement",0,100,0,0,0,0,0,0,0,0,100,"CW","City Wide","Service Improvement and Enhancement"
"682","Parks, Forestry & Recreation","Park Development","Frank Faubert Woods Development",0,0,73,0,0,0,0,0,0,0,73,"21","Scarborough Centre","Service Improvement and Enhancement"
"683","Parks, Forestry & Recreation","Community Centres","FMP-Wallace Emerson (Galleria) Redevelopment",0,0,30000,0,0,0,0,0,0,0,30000,"9","Davenport","Growth Related"
"684","Parks, Forestry & Recreation","Playgrounds/Waterplay","Play Enhancement Program",5800,0,0,0,0,0,0,0,0,0,5800,"CW","City Wide","Service Improvement and Enhancement"
"685","Parks, Forestry & Recreation","Arena","CAMP (SGR) Arenas",165,0,0,0,0,0,0,0,0,0,165,"CW","City Wide","State of Good Repair"
"686","Parks, Forestry & Recreation","Arena","CAMP (SGR) Arenas",0,5551,0,0,0,0,0,0,0,0,5551,"CW","City Wide","State of Good Repair"
"687","Parks, Forestry & Recreation","Special Facilities","Ferry Design & Infrastructure",50,9250,0,0,0,0,0,0,0,0,9300,"CW","City Wide","Service Improvement and Enhancement"
"688","Parks, Forestry & Recreation","Facility Components","Investigation & Pre-Engineering SI&G",275,0,0,0,0,0,0,0,0,0,275,"CW","City Wide","Service Improvement and Enhancement"
"689","Parks, Forestry & Recreation","Facility Components","Critical Infrastructure",1750,0,0,0,0,0,0,0,0,0,1750,"CW","City Wide","State of Good Repair"
"690","Parks, Forestry & Recreation","Facility Components","Various Buildings - Facility Rehabilitation",1514,0,0,0,0,0,0,0,0,0,1514,"CW","City Wide","State of Good Repair"
"691","Parks, Forestry & Recreation","Facility Components","Various Buildings - Facility Rehabilitation",3586,0,0,0,0,0,0,0,0,0,3586,"CW","City Wide","State of Good Repair"
"692","Parks, Forestry & Recreation","Facility Components","2023 Reduction Target Various Bldgs-Facility Rehab",-3586,0,0,0,0,0,0,0,0,0,-3586,"CW","City Wide","State of Good Repair"
"693","Parks, Forestry & Recreation","Facility Components","Capital Asset Management Planning",100,0,0,0,0,0,0,0,0,0,100,"CW","City Wide","State of Good Repair"
"694","Parks, Forestry & Recreation","Trails & Pathways","S Keelesdale Pk-Stair Improvt NE Corner Eglinton",0,251,0,0,0,0,0,0,0,0,251,"5","York South-Weston","Service Improvement and Enhancement"
"695","Parks, Forestry & Recreation","Trails & Pathways","York Beltline Trail Improvements",500,825,0,0,0,0,0,0,0,0,1325,"CW","City Wide","Service Improvement and Enhancement"
"696","Parks, Forestry & Recreation","Park Development","Various Parks - Parks Rehabilitation",1878,0,0,0,0,0,0,0,0,0,1878,"CW","City Wide","State of Good Repair"
"697","Parks, Forestry & Recreation","Park Development","Priority Downtown Parks",0,560,0,0,0,0,0,0,0,0,560,"CW","City Wide","Growth Related"
"698","Parks, Forestry & Recreation","Park Development","Yonge Street Linear Parks Improvement S42",905,1000,0,0,0,0,0,0,0,0,1905,"13","Toronto Centre","Service Improvement and Enhancement"
"699","Parks, Forestry & Recreation","Park Development","Market Ln Parkette & S Pk Devt Construction - S42",0,1200,0,0,0,0,0,0,0,0,1200,"13","Toronto Centre","Service Improvement and Enhancement"
"700","Parks, Forestry & Recreation","Park Development","Market Ln Parkette & S Pk Devt Construction - S42",3275,0,0,0,0,0,0,0,0,0,3275,"13","Toronto Centre","Service Improvement and Enhancement"
"701","Parks, Forestry & Recreation","Park Development","318 Queens Quay W/Rees Pk Development Construction",500,2331,0,0,0,0,0,0,0,0,2831,"10","Spadina-Fort York","Service Improvement and Enhancement"
"702","Parks, Forestry & Recreation","Park Development","150 Sterling - Above Base Park Development",0,0,11,128,0,0,0,0,0,0,139,"9","Davenport","Growth Related"
"703","Parks, Forestry & Recreation","Park Development","Lawrence Heights Ph1a-Baycrest Additional Funds",0,900,0,0,0,0,0,0,0,0,900,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"704","Parks, Forestry & Recreation","Community Centres","FMP-40 Wabash Parkdale New CC (#7) - Construction",0,2000,0,17800,0,0,0,0,0,0,19800,"4","Parkdale-High Park","Growth Related"
"705","Parks, Forestry & Recreation","Community Centres","FMP-Etobicoke Civic Centre Community Centre",0,0,0,1704,0,0,0,0,0,0,1704,"3","Etobicoke-Lakeshore","Growth Related"
"706","Parks, Forestry & Recreation","Special Facilities","Lifeguard Stations and Stands",50,500,500,500,0,0,0,0,0,0,1550,"CW","City Wide","Service Improvement and Enhancement"
"707","Parks, Forestry & Recreation","Special Facilities","2017 High Lake Effect - Flooding Damage & Repairs",0,2005,0,0,0,0,0,0,0,0,2005,"CW","City Wide","State of Good Repair"
"708","Parks, Forestry & Recreation","Special Facilities","CAMP(SGR) Waterfront,Marine,Ftn&Seawall",-995,-1602,1365,0,0,0,0,0,0,0,-1232,"CW","City Wide","State of Good Repair"
"709","Parks, Forestry & Recreation","Special Facilities","Ferry Vessels 1 & 2 Replacement",0,0,7153,0,0,0,0,0,0,0,7153,"CW","City Wide","Service Improvement and Enhancement"
"710","Parks, Forestry & Recreation","Park Development","464-470 Queen St W - Park Development",153,1751,0,0,0,0,0,0,0,0,1904,"10","Spadina-Fort York","Growth Related"
"711","Parks, Forestry & Recreation","Park Development","64A Thirteenth St - Colonel Samuel Smith Pk Exp",0,0,333,0,0,0,0,0,0,0,333,"3","Etobicoke-Lakeshore","Growth Related"
"712","Parks, Forestry & Recreation","Park Development","Silver Creek Park Improvements S37 S42",100,0,0,0,0,0,0,0,0,0,100,"2","Etobicoke Centre","Service Improvement and Enhancement"
"713","Parks, Forestry & Recreation","Park Development","Sunnydale Acres Park Improvements  S37",142,0,0,0,0,0,0,0,0,0,142,"1","Etobicoke North","Service Improvement and Enhancement"
"714","Parks, Forestry & Recreation","Park Development","Humber Bay Park East - Rehabilitation of Ponds",0,1830,0,0,0,0,0,0,0,0,1830,"3","Etobicoke-Lakeshore","Service Improvement and Enhancement"
"715","Parks, Forestry & Recreation","Park Development","Wayfinding for Parks and Trails",0,250,0,0,0,0,0,0,0,0,250,"CW","City Wide","Service Improvement and Enhancement"
"716","Parks, Forestry & Recreation","Park Development","Elie Wiesel Park Improvements S37",40,460,0,0,0,0,0,0,0,0,500,"6","York Centre","Service Improvement and Enhancement"
"717","Parks, Forestry & Recreation","Park Development","Runnymede Park Improvements S37",55,745,0,0,0,0,0,0,0,0,800,"5","York South-Weston","Service Improvement and Enhancement"
"718","Parks, Forestry & Recreation","Park Development","Silverview Park Redevelopment Study S37",20,180,0,0,0,0,0,0,0,0,200,"18","Willowdale","Service Improvement and Enhancement"
"719","Parks, Forestry & Recreation","Park Development","10 Ordnance Street Development - Design S42",25,0,0,0,0,0,0,0,0,0,25,"10","Spadina-Fort York","Service Improvement and Enhancement"
"720","Parks, Forestry & Recreation","Park Development","Wallace Emerson (Galleria) Park & Fieldhouse Ph 1",0,3698,0,0,0,0,0,0,0,0,3698,"9","Davenport","Growth Related"
"721","Parks, Forestry & Recreation","Park Development","Eglinton Park Master Plan Implementation",300,271,0,0,0,0,0,0,0,0,571,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
